transaction_id,customer_id,merchant_id,amount,payment_method,failure_reason,retry_count,minutes_since_failure,customer_success_rate,method_success_rate,previous_failures,is_international,device_type,hour,day_of_week,recovery_success
TX000122,17312,1981,2090.99,NETBANKING,BANK_DECLINE,0,15,0.7998914467074278,0.5563175333811408,3,0,desktop,7,3,1
TX000123,12252,1301,309.25,CARD,NETWORK,0,5,0.30073535043517985,0.5097882816134489,4,0,mobile,7,2,0
TX000124,3693,1665,1396.55,WALLET,LIMIT,1,5,0.7922135534369183,0.9339255524438623,3,0,mobile,23,3,0
TX000125,14931,2887,3291.95,WALLET,BANK_DECLINE,2,60,0.36717317216478484,0.4705550629591531,3,0,mobile,3,3,0
TX000126,4627,859,8325.92,UPI,BANK_DECLINE,2,240,0.8106185271122748,0.9055587740813995,0,0,desktop,10,3,0
TX000127,17157,1104,802.57,UPI,BANK_DECLINE,2,60,0.8029493026605579,0.691771450646018,3,0,desktop,1,2,1
TX000128,11173,2562,990.15,UPI,BANK_DECLINE,2,240,0.3843102294934171,0.6384134649835722,1,0,desktop,16,4,0
TX000129,19047,2917,1659.58,NETBANKING,TIMEOUT,2,60,0.6668670104864078,0.44579807058690024,2,0,desktop,9,0,0
TX000130,11230,2738,11812.6,NETBANKING,TIMEOUT,0,60,0.7746597317828795,0.41015640540521403,4,0,desktop,13,1,0
TX000131,16707,1432,417.81,NETBANKING,LIMIT,3,15,0.6821979113773255,0.45245554404896593,3,0,tablet,19,6,0
TX000132,12494,2863,1139.62,WALLET,LIMIT,0,120,0.32142951927077684,0.9458838692408289,3,0,mobile,4,3,0
TX000133,2306,1062,188.4,CARD,TIMEOUT,3,5,0.4325998117648042,0.7640941846237727,1,0,tablet,11,6,0
TX000134,7776,260,932.41,NETBANKING,TIMEOUT,1,240,0.6323288417841395,0.7555990410040303,3,0,tablet,0,4,0
TX000135,10474,258,3581.39,CARD,BANK_DECLINE,1,120,0.7404455496834783,0.4160926357232526,4,0,tablet,13,4,0
TX000136,8526,2599,675.98,WALLET,BANK_DECLINE,3,60,0.49401919216299484,0.5711505878909275,1,0,desktop,5,4,0
TX000137,6530,378,1721.8,CARD,TIMEOUT,3,5,0.5664820800060365,0.7062660796122087,2,0,mobile,13,1,0
TX000138,4748,200,1328.52,WALLET,BANK_DECLINE,1,30,0.854198524411202,0.3432551988402533,0,0,desktop,1,3,0
TX000139,14545,2320,602.78,WALLET,TIMEOUT,0,30,0.7383444451213242,0.45255104183094286,2,0,tablet,9,3,1
TX000140,1663,1926,5781.34,NETBANKING,BANK_DECLINE,0,120,0.32139599999635177,0.8076703825322267,3,0,tablet,14,4,0
TX000141,2998,1496,708.09,NETBANKING,LIMIT,1,60,0.7385784186631597,0.6838092914014209,3,0,mobile,2,0,0
TX000142,8994,1353,1740.57,CARD,NETWORK,1,30,0.5373517107612286,0.9147926268367452,3,1,tablet,11,1,0
TX000143,18879,1133,1163.2,UPI,TIMEOUT,2,5,0.6001766193796013,0.5744020377634461,2,0,desktop,6,0,0
TX000144,4304,2647,792.55,NETBANKING,LIMIT,0,60,0.7674356295948137,0.5478957943509286,0,0,desktop,3,5,1
TX000145,19237,321,1582.95,NETBANKING,NETWORK,1,240,0.33146986984347954,0.9071298829552774,0,0,desktop,10,0,1
TX000146,14808,1757,223.15,UPI,BANK_DECLINE,2,60,0.6042347074205563,0.8300109700944949,0,0,mobile,17,4,0
TX000147,7585,2269,2081.18,NETBANKING,NETWORK,2,15,0.33460985892078643,0.8566485786135305,1,0,mobile,0,5,0
TX000148,18675,2431,4786.85,WALLET,BANK_DECLINE,2,30,0.30959181746205616,0.35934669105267575,0,1,mobile,16,3,1
TX000149,12649,216,576.48,CARD,BANK_DECLINE,3,60,0.7418103218511791,0.4512789556155474,3,0,mobile,15,0,0
TX000150,2636,979,213.87,WALLET,BANK_DECLINE,0,5,0.8992029174893568,0.47275830607453584,0,0,desktop,2,6,0
TX000151,18082,2000,355.56,CARD,TIMEOUT,0,120,0.3678903147598588,0.737639111302939,3,0,tablet,4,0,0
TX000152,5737,1820,589.81,WALLET,LIMIT,0,5,0.656248132896637,0.8736606430185903,0,0,tablet,0,3,1
TX000153,15555,634,8260.38,CARD,TIMEOUT,2,240,0.9330657133577036,0.3511022190450724,3,0,mobile,12,0,0
TX000154,14877,2507,907.74,CARD,TIMEOUT,3,15,0.40529122452539734,0.552399587496212,4,0,tablet,15,0,0
TX000155,1854,351,971.05,CARD,TIMEOUT,3,30,0.4463233721461809,0.538102147488262,3,0,desktop,2,4,0
TX000156,6855,533,400.7,NETBANKING,LIMIT,1,5,0.4432381896457207,0.5909672119429412,0,0,mobile,1,3,0
TX000157,8392,690,681.16,CARD,TIMEOUT,2,5,0.43266780097083446,0.675499184844331,3,0,mobile,10,6,0
TX000158,14949,2224,589.86,WALLET,BANK_DECLINE,1,5,0.9049410016458364,0.3032471337444908,1,0,tablet,3,1,0
TX000159,19091,2916,3916.25,NETBANKING,NETWORK,1,15,0.5320191120978502,0.8143033350276181,4,0,tablet,1,2,0
TX000160,6791,635,558.0,WALLET,TIMEOUT,2,5,0.3081239986961813,0.9461208026515013,4,0,mobile,1,0,0
TX000161,5931,2575,6453.14,WALLET,BANK_DECLINE,3,120,0.4803374720092233,0.5645215303523037,3,0,desktop,17,5,0
TX000162,1202,2724,3002.78,UPI,LIMIT,0,30,0.9166091604445419,0.9133930027975732,3,0,tablet,13,6,0
TX000163,12447,597,3057.34,NETBANKING,LIMIT,1,240,0.9310701051120027,0.4763320838685097,3,0,desktop,9,2,0
TX000164,13688,2512,1727.78,CARD,LIMIT,3,15,0.7867023080017191,0.9239919634529465,1,0,tablet,4,2,0
TX000165,5389,1628,2627.6,WALLET,BANK_DECLINE,1,30,0.6458807955808514,0.8607759680471141,1,0,desktop,7,2,0
TX000166,3327,1033,675.08,UPI,NETWORK,1,30,0.9010846854610624,0.48718794236569063,2,1,tablet,0,2,1
TX000167,9004,2100,2058.12,NETBANKING,LIMIT,3,240,0.5458377300825517,0.7047934039314441,0,1,desktop,21,5,1
TX000168,8777,283,2890.09,UPI,NETWORK,2,5,0.4849447297642885,0.5717997426391184,2,0,desktop,0,0,0
TX000169,1197,2326,782.47,UPI,TIMEOUT,0,60,0.3931934454349919,0.7576719639575431,0,0,mobile,17,2,0
TX000170,2930,2433,433.66,WALLET,LIMIT,1,240,0.462098811057036,0.3350271161360716,1,0,mobile,5,0,0
TX000171,12774,1975,2489.73,WALLET,BANK_DECLINE,1,120,0.8240186451546734,0.9223630010588939,3,0,desktop,23,1,1
TX000172,16087,1997,522.68,NETBANKING,BANK_DECLINE,2,240,0.5715079310375905,0.36810613019448535,1,0,mobile,5,0,1
TX000173,10339,1100,227.73,NETBANKING,LIMIT,3,120,0.6077923663463649,0.6360362491960156,4,0,desktop,0,5,0
TX000174,12589,1960,949.28,CARD,LIMIT,1,5,0.3918737803341227,0.548909843364026,0,0,tablet,2,5,0
TX000175,19895,1361,1053.25,CARD,BANK_DECLINE,2,240,0.866060814519455,0.5851465074563453,4,0,desktop,12,2,0
TX000176,16708,1882,367.97,CARD,NETWORK,1,30,0.4617255765945655,0.5355147794759109,3,0,desktop,17,0,0
TX000177,18043,520,178.58,CARD,TIMEOUT,0,5,0.7165549149415682,0.7261719888214556,2,1,tablet,22,3,0
TX000178,3811,2867,924.93,WALLET,BANK_DECLINE,1,240,0.8016129277616071,0.769601796179106,3,0,mobile,10,2,0
TX000179,15243,2373,638.04,WALLET,LIMIT,1,15,0.9230128199755987,0.6090560903081902,4,0,mobile,23,6,0
TX000180,7546,1873,2084.17,CARD,BANK_DECLINE,1,30,0.774237437382882,0.6329038987389892,4,0,mobile,0,1,0
TX000181,2986,1749,1107.95,NETBANKING,BANK_DECLINE,3,15,0.880013786293034,0.38341913319040577,0,0,desktop,12,5,0
TX000182,9338,937,503.34,CARD,TIMEOUT,2,240,0.7142159710564266,0.4008357931289436,3,0,tablet,12,6,0
TX000183,12411,845,394.93,NETBANKING,NETWORK,0,5,0.6614449191871327,0.6208026515484923,3,0,tablet,0,3,0
TX000184,3911,2729,1873.43,NETBANKING,NETWORK,1,30,0.617098795203721,0.4685939761289881,2,0,tablet,6,4,0
TX000185,2734,2093,1174.33,WALLET,TIMEOUT,2,60,0.49618854629317555,0.7091245098568031,2,0,mobile,2,3,1
TX000186,19227,1858,983.45,NETBANKING,NETWORK,0,240,0.6556998880769045,0.3855437726299626,3,0,tablet,21,3,1
TX000187,9680,2793,1557.93,WALLET,TIMEOUT,1,60,0.44720634204506726,0.9185239626728157,1,1,tablet,15,0,0
TX000188,19343,2982,4449.05,UPI,LIMIT,0,120,0.4400033989848459,0.7836049411043009,2,1,tablet,5,2,0
TX000189,6759,860,1930.26,UPI,NETWORK,1,60,0.41007017598975515,0.3783841512860807,1,0,mobile,10,4,0
TX000190,3385,1167,237.46,WALLET,TIMEOUT,1,60,0.7873143711948721,0.5291801471442119,4,0,tablet,2,3,0
TX000191,12111,919,927.76,NETBANKING,BANK_DECLINE,2,30,0.32056951815161683,0.46393481290182514,4,0,tablet,22,2,0
TX000192,5736,1463,555.05,WALLET,BANK_DECLINE,2,15,0.4208235462871305,0.7852903529147208,2,0,mobile,15,5,0
TX000193,2802,838,1119.99,CARD,LIMIT,3,120,0.3482406345757596,0.578877207216665,2,0,mobile,22,4,0
TX000194,9155,548,500.08,CARD,NETWORK,0,5,0.6419952253621877,0.5127661732849145,4,0,tablet,14,2,0
TX000195,9120,2071,844.54,CARD,LIMIT,1,120,0.8622241224328908,0.3799010712464934,2,0,mobile,21,3,0
TX000196,7616,1538,912.44,UPI,BANK_DECLINE,2,120,0.819884497244318,0.6781882243104447,4,0,tablet,7,4,0
TX000197,15257,2400,1778.64,NETBANKING,TIMEOUT,0,30,0.4214207040424269,0.6675695292764338,0,0,desktop,10,0,1
TX000198,15486,1073,827.64,WALLET,LIMIT,2,30,0.5556683752516327,0.41114061735164675,3,0,mobile,13,4,0
TX000199,17646,2214,255.58,UPI,NETWORK,2,240,0.6204067985431064,0.8387387477609516,2,0,desktop,22,2,0
TX000200,15075,2911,1967.8,WALLET,TIMEOUT,1,240,0.7276446076367893,0.6336150222221035,2,0,desktop,0,4,1
TX000201,10208,561,675.46,CARD,BANK_DECLINE,1,5,0.4625924032286122,0.38404884057950883,1,0,tablet,19,6,1
TX000202,17371,1702,416.12,WALLET,TIMEOUT,1,15,0.6294338187563457,0.8370277568230977,4,1,tablet,14,2,1
TX000203,12835,1769,203.41,CARD,TIMEOUT,0,15,0.9358688560755515,0.7087866112813592,4,1,desktop,12,3,0
TX000204,14168,588,5015.59,CARD,TIMEOUT,0,240,0.9312049819115897,0.7751899407086461,4,1,tablet,19,3,0
TX000205,3049,879,381.25,CARD,LIMIT,1,240,0.6625752621362224,0.9156724244650576,2,0,desktop,11,5,0
TX000206,6423,165,167.52,NETBANKING,BANK_DECLINE,2,15,0.6471418917438562,0.6752400801087098,1,0,tablet,23,3,1
TX000207,15589,931,792.95,CARD,NETWORK,1,5,0.6467766124853203,0.9349000684626401,2,1,tablet,8,1,0
TX000208,8158,2446,2012.53,CARD,NETWORK,0,240,0.7882016102726315,0.4983531336202953,0,0,tablet,15,1,0
TX000209,11248,977,382.62,CARD,TIMEOUT,1,5,0.8406103859911807,0.4742151337788377,4,0,mobile,12,5,0
TX000210,8400,543,1396.94,UPI,LIMIT,0,60,0.8687821803834475,0.488923943390728,2,0,tablet,17,6,1
TX000211,10874,1446,534.42,CARD,NETWORK,0,240,0.5468868692733364,0.615039045136433,4,0,desktop,15,0,1
TX000212,16151,2315,2228.85,UPI,BANK_DECLINE,0,15,0.628631709326946,0.9370408360546183,1,0,desktop,9,5,0
TX000213,19639,2252,4570.42,WALLET,NETWORK,2,30,0.676450295645542,0.9405838400503876,2,0,tablet,19,3,0
TX000214,2154,2987,4308.52,NETBANKING,BANK_DECLINE,1,5,0.8119511431105806,0.49557081242807344,3,0,tablet,17,2,0
TX000215,5499,2169,2532.35,NETBANKING,TIMEOUT,0,30,0.5517585836998651,0.9474153256750772,2,0,tablet,19,4,0
TX000216,7295,2109,1507.08,UPI,BANK_DECLINE,1,30,0.32163973775738025,0.5588954212171531,0,1,desktop,2,1,0
